tai version : 2.7.12
PyTorch version: 1.12.1
Number of GPUs : 1
Device         : cuda

Dataset sizes: "train, val"--> [346, 88] 


- - - - -
Training for 1000 epochs:
- - - - -

epoch     train_loss  valid_loss  error_rate  time    
0         1.297663    1.134268    0.500000    00:16                                    
epoch     train_loss  valid_loss  error_rate  time    
0         1.225198    1.244785    0.522727    00:06                                       
1         1.208439    1.164467    0.522727    00:06                                       
2         1.188745    1.003780    0.488636    00:06                                       
3         1.160040    1.028677    0.454545    00:06                                       
4         1.106851    1.073559    0.477273    00:06                                       
5         1.061027    1.053507    0.522727    00:06                                       
6         1.027815    1.003597    0.454545    00:06                                       
7         1.011606    0.982154    0.465909    00:06                                       
8         0.990183    0.938128    0.431818    00:05                                       
9         0.968815    0.873624    0.431818    00:05                                        
10        0.950314    0.841269    0.420455    00:05                                        
11        0.938718    0.842490    0.397727    00:05                                        
12        0.917994    0.882424    0.409091    00:05                                        
13        0.904958    0.912221    0.397727    00:05                                        
14        0.883467    0.943555    0.431818    00:05                                        
15        0.876547    0.938264    0.443182    00:05                                        
16        0.872929    0.952722    0.420455    00:05                                        
17        0.868072    0.964445    0.431818    00:05                                        
18        0.858830    0.967699    0.454545    00:05                                        
19        0.850936    0.979725    0.465909    00:05                                        
20        0.830259    0.989603    0.465909    00:05                                        
21        0.814907    0.992207    0.454545    00:05                                        
22        0.804769    0.980836    0.454545    00:05                                        
23        0.792180    0.964159    0.454545    00:05                                        
24        0.780525    0.956500    0.420455    00:05                                        
25        0.769708    0.937756    0.397727    00:05                                        
26        0.757062    0.911112    0.375000    00:05                                        
27        0.749051    0.901574    0.363636    00:05                                        
28        0.739299    0.911459    0.409091    00:05                                        
29        0.726979    0.928763    0.397727    00:05                                        
30        0.714844    0.931133    0.409091    00:05                                        
31        0.711213    0.909912    0.409091    00:05                                        
32        0.698815    0.884202    0.386364    00:05                                        
33        0.688518    0.879366    0.352273    00:05                                        
34        0.668816    0.886385    0.375000    00:05                                        
35        0.675723    0.926492    0.352273    00:05                                        
36        0.668227    0.966245    0.386364    00:05                                        
37        0.658924    0.989713    0.409091    00:05                                        
38        0.647917    1.022720    0.454545    00:05                                        
39        0.645497    1.008638    0.420455    00:05                                        
40        0.634152    0.979720    0.386364    00:05                                        
41        0.624905    0.955808    0.386364    00:05                                        
42        0.619365    0.947227    0.375000    00:05                                        
43        0.606028    0.934140    0.375000    00:05                                        
44        0.596262    0.936624    0.340909    00:05                                        
45        0.582566    0.941546    0.375000    00:05                                        
46        0.568356    0.940455    0.386364    00:05                                        
47        0.554815    0.961083    0.386364    00:05                                        
48        0.546063    0.976888    0.397727    00:05                                        
49        0.532632    0.972664    0.397727    00:05                                        
50        0.523842    0.966424    0.375000    00:05                                        
51        0.506797    0.992904    0.386364    00:05                                        
52        0.493602    0.986580    0.397727    00:05                                        
53        0.480396    0.980700    0.375000    00:05                                        
54        0.467392    0.995260    0.363636    00:05                                        
55        0.462212    1.022485    0.363636    00:05                                        
56        0.453659    1.011693    0.397727    00:05                                        
57        0.441331    0.968135    0.363636    00:05                                        
58        0.435535    0.947793    0.329545    00:05                                        
