fastai version : 2.7.12
PyTorch version: 1.12.1
Number of GPUs : 1
Device         : cuda

Dataset sizes: "train, val"--> [346, 88] 


- - - - -
Training for 30 epochs:
- - - - -

epoch     train_loss  valid_loss  error_rate  time    
0         1.130800    0.954127    0.500000    00:14                                    
epoch     train_loss  valid_loss  error_rate  time    
0         1.154730    0.879607    0.420455    00:07                                     
1         1.216192    0.862206    0.500000    00:06                                     
2         1.138260    0.921513    0.454545    00:06                                     
3         1.161021    1.035227    0.420455    00:06                                     
4         1.169781    1.033788    0.397727    00:06                                     
5         1.144307    1.039678    0.397727    00:06                                     
6         1.143070    1.028031    0.420455    00:05                                     
7         1.124363    1.025294    0.465909    00:05                                     
8         1.111572    0.946473    0.465909    00:06                                     
9         1.101355    1.018189    0.431818    00:05                                      
10        1.080026    1.101023    0.454545    00:05                                      
11        1.073382    1.332429    0.556818    00:05                                      
12        1.069710    0.969597    0.488636    00:05                                      
13        1.064772    0.942881    0.386364    00:05                                      
14        1.054213    0.950750    0.488636    00:05                                      
15        1.043506    0.991779    0.465909    00:05                                      
16        1.030993    0.913926    0.465909    00:05                                      
17        1.008433    0.897127    0.488636    00:05                                      
18        1.003159    0.915967    0.465909    00:05                                      
19        0.992810    0.863180    0.477273    00:05                                      
20        0.980053    0.776829    0.420455    00:05                                      
21        0.974380    0.760051    0.397727    00:05                                      
22        0.959289    0.750536    0.375000    00:05                                      
23        0.948786    0.764097    0.386364    00:05                                      
24        0.937220    0.793101    0.409091    00:05                                      
25        0.932465    0.810557    0.443182    00:05                                      
26        0.925325    0.821690    0.431818    00:05                                      
27        0.906396    0.818551    0.465909    00:05                                      
28        0.903108    0.813099    0.465909    00:05                                      
29        0.892768    0.811782    0.465909    00:05
