fastai version : 2.7.12
PyTorch version: 1.12.1
Number of GPUs : 1
Device         : cuda

Dataset sizes: "train, val"--> [346, 88] 


- - - - -
Training for 1000 epochs:
- - - - -

epoch     train_loss  valid_loss  error_rate  time    
0         1.322274    1.111573    0.454545    00:14                                    
epoch     train_loss  valid_loss  error_rate  time    
0         1.341363    1.053649    0.465909    00:06                                       
1         1.353884    1.104256    0.556818    00:05                                       
2         1.311670    1.140299    0.511364    00:05                                       
3         1.266487    1.157323    0.534091    00:05                                       
4         1.239476    1.107161    0.477273    00:05                                       
5         1.226908    1.043610    0.443182    00:06                                       
6         1.218317    0.992703    0.420455    00:05                                       
7         1.212278    0.951523    0.477273    00:05                                       
8         1.171707    0.910008    0.465909    00:05                                       
9         1.170221    0.910414    0.454545    00:05                                        
10        1.152215    0.954570    0.454545    00:05                                        
11        1.126082    1.014428    0.454545    00:05                                        
12        1.118441    1.067565    0.488636    00:05                                        
13        1.110059    1.071301    0.545455    00:05                                        
14        1.087657    1.057425    0.488636    00:05                                        
15        1.085458    1.030802    0.511364    00:05                                        
16        1.080379    0.984292    0.488636    00:05                                        
17        1.065055    0.953735    0.477273    00:05                                        
18        1.044930    0.928490    0.443182    00:05                                        
19        1.030665    0.897352    0.420455    00:05                                        
20        1.029608    0.886078    0.420455    00:05                                        
21        1.012639    0.899223    0.409091    00:05                                        
22        1.006329    0.901278    0.420455    00:05                                        
23        0.984787    0.900906    0.454545    00:05                                        
24        0.984208    0.916513    0.454545    00:05                                        
25        0.975531    0.928065    0.465909    00:05                                        
26        0.968237    0.937489    0.477273    00:05                                        
27        0.954199    0.969097    0.488636    00:05                                        
28        0.936081    0.985611    0.511364    00:05                                        
29        0.925361    0.995634    0.488636    00:05                                        
30        0.911059    1.021201    0.500000    00:05                                        
31        0.906182    1.028797    0.500000    00:05                                        
32        0.894145    1.020144    0.477273    00:05                                        
33        0.886528    0.984163    0.454545    00:05                                        
34        0.878804    0.933209    0.465909    00:05                                        
35        0.878153    0.911589    0.443182    00:05                                        
36        0.878434    0.908240    0.477273    00:05                                        
37        0.875920    0.907561    0.477273    00:05                                        
38        0.864664    0.905495    0.465909    00:05                                        
39        0.871667    0.918980    0.443182    00:05                                        
40        0.867152    0.929990    0.443182    00:05                                        
41        0.856381    0.939376    0.443182    00:05                                        
42        0.865749    0.928416    0.443182    00:05                                        
43        0.861966    0.941628    0.443182    00:05                                        
44        0.854658    0.980020    0.431818    00:05                                        
45        0.840342    0.999415    0.443182    00:05                                        
46        0.829340    1.002558    0.488636    00:05                                        
47        0.819055    0.967995    0.431818    00:05                                        
48        0.810334    0.933168    0.397727    00:05                                        
49        0.804304    0.914865    0.431818    00:05                                        
50        0.794518    0.922590    0.420455    00:05                                        
51        0.790803    0.946628    0.454545    00:05                                        
52        0.778626    1.020164    0.454545    00:05                                        
53        0.764194    1.060900    0.465909    00:05                                        
54        0.753401    1.088407    0.465909    00:05                                        
55        0.751783    1.080559    0.465909    00:05                                        
56        0.743351    1.085414    0.454545    00:05                                        
57        0.736921    1.149791    0.454545    00:05                                        
58        0.736209    1.177837    0.465909    00:05                                        
