fastai version : 2.7.12
PyTorch version: 1.12.1
Number of GPUs : 1
Device         : cuda

Dataset sizes: "train, val"--> [346, 88] 


- - - - -
Training for 30 epochs:
- - - - -

epoch     train_loss  valid_loss  error_rate  time    
0         1.369669    0.977613    0.488636    00:17                                    
epoch     train_loss  valid_loss  error_rate  time    
0         1.321794    0.918355    0.465909    00:08                                     
1         1.254236    1.014080    0.488636    00:06                                     
2         1.234776    1.027809    0.477273    00:06                                     
3         1.203019    0.997058    0.511364    00:06                                     
4         1.171567    0.903857    0.488636    00:06                                     
5         1.159623    0.828373    0.431818    00:06                                     
6         1.126850    0.865911    0.431818    00:05                                     
7         1.113373    0.987367    0.443182    00:05                                     
8         1.100948    1.161508    0.522727    00:05                                     
9         1.097182    1.086136    0.477273    00:05                                      
10        1.072670    1.206431    0.522727    00:05                                      
11        1.061131    0.933985    0.454545    00:05                                      
12        1.040646    0.886500    0.431818    00:05                                      
13        1.028204    0.967183    0.500000    00:05                                      
14        1.014324    0.876387    0.465909    00:05                                      
15        0.984587    0.849652    0.443182    00:05                                      
16        0.968134    0.902010    0.386364    00:05                                      
17        0.946976    0.854913    0.397727    00:05                                      
18        0.926692    0.785675    0.420455    00:05                                      
19        0.914856    0.786303    0.431818    00:05                                      
20        0.897554    0.807730    0.409091    00:05                                      
21        0.879253    0.835208    0.431818    00:05                                      
22        0.867288    0.851129    0.454545    00:05                                      
23        0.846351    0.853493    0.443182    00:05                                      
24        0.826541    0.850042    0.409091    00:05                                      
25        0.808846    0.841166    0.420455    00:05                                      
26        0.794973    0.837383    0.409091    00:05                                      
27        0.780046    0.825964    0.409091    00:05                                      
28        0.772737    0.828141    0.409091    00:05                                      
29        0.771624    0.823900    0.420455    00:05
